ca_pa,status,raise_date,target_date,audit,source,ower,deatails,root_cause_details,root_cause_completed_by,root_cause_target_date,root_cause_closed_date,corrective_action_details,corrective_action_completed_by,corrective_action_target_date,corrective_action_closed_date,preventive_action_details,preventive_action_completed_by,preventive_action_target_date,preventive_action_closed_date,follow_up_details,follow_up_completed_by,follow_up_target_date,follow_up_closed_date,accesptance_action_details,accesptance_action_completed_by,accesptance_action_target_date,accesptance_action_closed_date,implementing_action_details,implementing_action_completed_by,implementing_action_target_date,implementing_action_closed_date,
CA/PA-1016,Closed,3/17/2025,5/30/2025,"AUD557 - Azerbaijan Airlines (CAMO-001), Airbus A319/A320/A340(ACAM In-depth Survey)",AZAL Audit/Inspection,"AZAL, Auditee","References: M.301(b), AMC M.301(b), M.403, AMC M.710(a), 145.60, AMC 20-8.
1. Defects deferred under MEL without reflecting last revision of MEL document (evidence OCOD page13).
2. OCOD page 13 item 8 and 9 are reflected as C category MEL items but deadline was calculated as per D category MEL (evidence OCOD Page13).",OP04 - Inadequate training,"AZAL, Auditee",3/19/2025,4/7/2025,Information bulletin will be issued for MRO JVA Technics with guidance in regard with MEL categorization in OCOD until end of April 2025.,"AZAL, Auditee",3/19/2025,5/13/2025,Supervision of maintenance records will be strengthened by during scheduled/unscheduled inspections and/or audits.,"AZAL, Auditee",3/19/2025,5/13/2025,evidence provided,"Nasirov, Namig",7/29/2025,7/29/2025,Accepted,"Nasirov, Namig",5/13/2025,5/13/2025,Information bulletin was issued for MRO JVA Technics with guidance in regard with MEL categorization in OCOD on 04th April 2025. ,"AZAL, Auditee",5/22/2025,6/10/2025,
CA/PA-1007,Closed,3/17/2025,4/17/2025,AUD549 - Azerbaijan Airlines (CAMO-001) Foreign Aircraft Survey Boeing 787,Surveillance,"AZAL, Auditee","The main landing gears outside is very dirty.
Ref. AHY-B787-MP FLEET, ARRIVAL CHECK and DEPARTURE CHECK, INSPECTION ITEMS.
 See the attached photos for reference # 001-003.",OP03 - Inadequate operations,"AZAL, Auditee",4/17/2025,4/7/2025,Work Order will be issued to eliminate the occurrence until end of April 2025.,"AZAL, Auditee",4/17/2025,,"Notification letter will be sent to contracted AMO (SWT) to increase control on A/C exterior conditions (focus LG cleanliness) during arrival/departure checks. 
Supervision of A/C exterior conditions will be strengthened during scheduled and unscheduled audits/inspections.","AZAL, Auditee",4/17/2025,,None,None,None,None,Accepted.,"Hasanov, Oktay",4/17/2025,5/5/2025,None,None,None,None,
CA/PA-1017,Closed,4/29/2025,5/29/2025,"AUD579 - Azerbaijan Airlines (CAMO-001), Foreign Aircraft Survey (Embraer ERJ-190)",AZAL Audit/Inspection,"AZAL, Auditee","AAR-CAMO.305 (g). No evidence of training provided to relevant personnel as per the ""Aircraft Technical Log Book System Procedure"" (AHY-CAM-PRO-0007). - checklist item 7 (for evidence see - “Sübutedici dəlil 2”)",IS04 - Failed to provide/ensure adequate training (training plan was under revision),"AZAL, Auditee",5/8/2025,4/7/2025,"Training plan will be revised to include periodic and specialized training sessions by May 2025.
Training will be provided to relevant personnel in accordance with newly revised Training Plan by June 2025.","AZAL, Auditee",5/8/2025,,Supervision of training currency of contracted AMO will be strengthened by CAMO Support Section. ,"AZAL, Auditee",5/29/2025,,Supporting documents have been provided.,"Yahyayev, Nurlan",7/15/2025,7/14/2025,"Accepted. The audit will be closed upon receipt and verification of the following supporting documents:


1️. The revised Training Plan;

2️. Documentary evidence confirming that the necessary training has been completed by the relevant personnel.","Yahyayev, Nurlan",5/29/2025,5/29/2025,"Training Plan for AMO/CAMO subcontracted staff for 2025 was revised, document attached.
Training in the scope of ""Aircraft Technical Log Book System Procedure"" (AHY-CAM-PRO-0007) was provided to AMO/CAMO personnel in accordance with revised Training Plan, attendance sheets attached.","AZAL, Auditee",6/16/2025,7/7/2025,
NC126,Closed,12/14/2022,5/31/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee","CAMO.200(a). Uyğunluğa nəzarət (keyfiyyət) sisteminə dair:
- hava gəmisi yoxlamaları təsdiq edilmiş illik audit planında mövcud deyil (təsdiq edilməmiş inspeksiya planında mövcuddur),
- 2022-ci ilin aprel ayına nəzərdə tutulmuş Airbus A340 tipli 4K-AZ86 qeydiyyat nişanlı hava gəmisinin yoxlanılması bərədə sübutedici sənədlər təqdim edilməmişdir,
- 2021-ci ilin iyul ayına nəzərdə tutulmuş “Turkish Technics” texniki xidmət təşkilatının yoxlanılması barədə sübutedici sənədlər təqdim edilməmişdir,
- hava gəmilərinin yoxlanılması üçün nəzərdə tutulan “Product Audit of Aircraft Checklist” təqdim edilməmişdir; “Physical survey checklist” isə CAME-nin 3.2-ci bəndinin tələblərinə uyğun deyil;
- CAME-nin 2.8.3-ci yarımbəndində qeyd edilən “CAMO Compliance Audit Checklist” təqdim edilməmişdir;
- CAME-nin 2.8.4-cü yarımbəndində qeyd edilən “AMO Compliance Audit Checklist” təqdim edilməmişdir; təqdim edilmiş oxşar “checklist” sonuncu dəfə 2015-ci ildə yenilənib.","- Hava gəmilərinin yoxlamaları(Aircraft Product Audit) 2024 İllik Audit Planına əlavə edilib. Management System Manual sənədinin Audit Scope hissəsinə əlavə edilib. Product Audit-lər plana uyğun olaraq aparılır. Illik Audit Plan Q-pulse sisteminə yüklənmişdir. (attached - AZAL Audit Plan 2024)
- 4K-AZ86 qeydiyyat nişanlı təyyarənin yoxlamaları haqqında sübutlar Q-pulse sisteminə yüklənmişdir. (attached - 4K AZ86 Inspection Report 2022)
- 26-28.12.2022 tarixində Turkish Technicde keçirilmiş auditin raportu Q-pulse sisteminə yüklənmişdir. (attached - Turkish Technics December 2023)
- Product Audit of Aircraft Checklist hazırlanıb və Q-pulse sisteminə yüklənmişdir. (attached - PRODUCT AUDIT CHECKLIST)
- AAR-CAMO və AAR-M əsasında hazırlanmış CAMO Compliance Audit Checklist Q-pulse sisteminə yüklənmişdir. (attached - CAMO Compliance Audit Checklist 2024)
- AAR-145 əsasında hazırlanmış AMO Compliance Audit Checklist Q-pulse sisteminə yüklənmişdir. (attached AMO Compliance Audit Checklist 2024)","AZAL, Auditee",10/8/2024,4/7/2025,Follow Up required,"AZAL, Auditee",5/31/2023,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
CA/PA-1032,Closed,5/19/2025,7/19/2025,"AUD546 - Azerbaijan Airlines (AZ.CAMO.0001), Flight Recorder Serviceability Survey Airbus A319/A320/A340)",AZAL Audit/Inspection,"AZAL, Auditee","AAR-M, M.302
  FDR Data Verification Analysis – AMP Task 313300-AZ-2:
      1.The task is shown as accomplished on 30.04.2024 in the due report, whereas the associated readout report is dated 17.02.2024.
      2. The AMP does not indicate that this task is a requirement of the AzSCAA.","1. CM06 - Poor communication of critical information and poor decision making
(After the flight data analysis was completed, the flight data analysis group reported a failure of radio altimeter#2 on 06.03.2024 via email. The serviceability report was generated on 30.04.2024 due to troubleshooting of the radio altimeter was ongoing till 29.04.2024).

2. Inadequate alignment of the Aircraft Maintenance Programme (AMP) content with specific local regulatory requirements (AzSCAA).","AZAL, Auditee",5/26/2025,4/7/2025,"1. MEL Extension Approval Forms will be provided in regard to the affected part (Radio Altimeter #2), which was reported as unserviceable on 06.03.2024 via email. 
Personnel responsible for provision of Flight Data Recorder Readout Report was unaware of corresponding MEL which led to extended due date for generation of Flight Recorder Serviceability Report. Personnel responsible for FDR analysis will be added to the distribution list for Fleet Condition acknowledgement. 

2. Revise AMP sections to fully comply with the identified AzSCAA regulatory requirements and will be sent to SCAA till June 15, 2025.","AZAL, Auditee",5/26/2025,,"1. Received information related to data from Flight Recorders will be double checked by CAMO against associated fleet condition.

2.  Implement a regulatory cross-check process during AMP development and revision, ensuring that all maintenance tasks mandated by local authorities (AzSCAA) are explicitly referenced. ","AZAL, Auditee",5/26/2025,,Supporting documentation confirming the completion of the actions has been submitted.,"Latifov, Fuad",7/11/2025,7/10/2025,Accepted,"Latifov, Fuad",5/26/2025,7/8/2025,"The personnel responsible for FDR analysis have been added to the CAD email group and now receive the Fleet Condition emails on a daily basis.
Extract from the A320 CEO maintenance program has ben submitted. ","AZAL, Auditee",7/11/2025,7/10/2025,
NC124,Closed,12/14/2022,5/31/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee",CAMO.115(b). Sertifikasiyadan əvvəl nəzərdə tutulan “Uçuşa yararlılığın saxlanılmasını idarə edən təşkilatlara dair Azərbaycan Aviasiya Qaydaları”nın (AAQ-CAMO) 2-ci nəşrinin tələblərinə uyğun olaraq daxili audit həyata keçirilməyib.,"Uçuşa yararlılığın saxlanılmasını idarə edən təşkilatlara dair Azərbaycan Aviasiya Qaydaları”-nın (AAQ-CAMO) 2-ci nəşrinin tələblərinə uyğun olaraq 2023 cü il fevral ayı üçün plandan kənar audit keçiriləcək.31 May 2023 cü ilədək təqdim ediləcək
Subutlar MAA QPulse sisteminə yüklənmişdir","AZAL, Auditee",1/31/2023,1/7/2025,sənədləri qəbul edilir,"Agayeva, Natavan",5/31/2023,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
NC125,Closed,12/14/2022,4/3/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee",CAMO.160(b). Hava gəmilərində baş verən texniki nasazlıqlarla bağlı olan “Occurence report”lar istehsalçılara göndərilmir.,"Personalın tələbləri tam qavramamağı səbəbindən  ""Occurence reportlar"" istehsalçılara gönərilməmişdir.","AZAL, Auditee",1/31/2023,1/8/2025,"Occurence reportun istehsalçılara göndərilməsi təmin edilib. İlk report: 26.12.2022 Cessna (4k-AZ97) TOR-0077 Textron
CAMO.160 (b) qaydaların ətraflı izahı ilə daxili təlim keçirilib","AZAL, Auditee",1/31/2023,,Completed.,"Yusifli, Fuad",,,None,None,None,None,None,None,None,None,None,None,None,None,
NC127,Closed,12/14/2022,10/31/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee","CAMO.200(a). Uçuşların təhlükəsizliyinin idarə edilməsi sisteminə (SMS) dair:
- Uçuşa yararlılığın saxlanılmasını idarə edən təşkilat (CAMO) “AZAL”ın mövcud uçuşların təhlükəsizliyinin idarə edilməsi sisteminə (SMS) inteqrasiya edilməyib - “CAME”dən “SMS manual”a verilən istinadların əksəriyyəti səhvdir, “safety policy” yenilənməyib, uçuşa yararlılıq üzrə “safety objective”lər müəyyən edilməyib, “SMS manual”ın müvafiq prosedurlarında uçuşa yararlılığın saxlanılması nəzərə alınmayıb və s.","Uçuşa yararlılığın saxlanılmasını idarə edən təşkilat (CAMO) “AZAL”ın mövcud uçuşların təhlükəsizliyinin idarə edilməsi sisteminə (SMS) inteqrasiya edilməsi üçün işlərin aparılması məqsədi ilə hazırda Konsultantla danışıqlar aparılıb və təklif alınıb.31 May 2023-cü ilədək təqdim olunacaq
 - “CAME”dən “SMS manual”a verilən istinadlar yenilənəcək. Konsultantla əməkdaşlığın nəticəsi olaraq “safety policy” yenilənəcək, uçuşa yararlılıq üzrə “Hazard”, “risk mitigation” və “safety objective”lər müəyyən ediləcək,31 May 2023-cü ilədək təqdim olunacaq","AZAL, Auditee",10/4/2024,4/7/2025,Will be taken into account during next audit,"Nasirov, Namig",10/4/2024,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
NC128,Closed,12/14/2022,5/31/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee",CAMO.205(b). “Cessna” tipli təyyarələrin uçuşa yararlılığın saxlanılması üzrə subpodratçı olan “ASG Helicopter Services” MMC-nin gördüyü işlərə dair nəzarət proseduru mövcud deyil. Bu nəzarətin həyata keçirilməsi barədə yoxlama zamanı heç bir sübut təqdim edilməmişdir.,CESSNA ilə bağlı AZAL və ASG Helicopter Services arasında əlaqə prosedurları şirkətlər arasında CAMO subpodratçı müqaviləsində öz əksini tapır ancaq bu prosedurlar barəsində məlumatlar CAME-də öz əksini tapmır.Personalın prosesin  prioritetliyini nəzərə almadığı səbəbilə nəzarət proseduru yazılmamış və nəzarətin həyata keçirilməsi barəsində sübut təqdim edilməmişdir,"AZAL, Auditee",1/31/2023,4/7/2025,Cessna tipli təyyarələrin uçuşa yararlılığın saxlanılması üzrə olan ASG Helicopter Services gördüyü işlərə nəzarət proseduru CAME-ya daxil ediləcək. CAME yeni redaksiyasının təsdiq üçün CAA-ya təqdim edilməsi üçün son tarix 31 may 2023-cü ildir.,"AZAL, Auditee",1/31/2023,,Follow Up completed.,"Yusifli, Fuad",5/31/2023,,None,None,None,None,None,None,None,None,None,None,None,None,
NC137,Closed,12/14/2022,4/3/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee",CAMO.310(c). Uçuşa yararlılığın yoxlanılması personalına (“airworthiness review staff”) icazələrin verilməsi prosedurunun yerinə yetirilməsini təsdiq edən sənədlər keyfiyyət idarəsi tərəfindən təqdim edilməmişdir.,"İstənilən fayllar,subutlar fiziki şəkildə  Hava Gəmilərinin Uçuşa Yararlığının Saxlanması İdarəsində   təlim fayllarında saxlandığına görə təqdim olunmamışdır.","AZAL, Auditee",1/31/2023,4/7/2025,"Keyfiyyət idarəsi tərəfindən bu prosedur nəzarətə götürülüb, Sübut edici sənədlər əlavə ediləcək.31 May 2023-cü ilədək təqdim olunması planlaşdırılır","AZAL, Auditee",1/31/2023,,Follow Up completed.,"Yusifli, Fuad",,,None,None,None,None,None,None,None,None,None,None,None,None,
NC138,Closed,12/14/2022,4/3/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee",CAMO.315(a). Gulfstream tipli hava gəmiləri üzrə uçuşa yararlılıq direktivlərinə nəzarət proseduru “CAME”-nin 1.4.1-ci bəndində qeyd olunan prosedura uyğun həyata keçirilmir. Yoxlama zamanı bu tip təyyarələr üçün EASA və ya FAA tərəfindən buraxılmış uçuşa yararlılıq direktivləri barəsində email vasitəsilə məlumatın alınması nümayiş edilməmişdir.,Bildiriş almaq üçün bir işçi  EASA/FAA saytda qeydiyyatdan keçib.,"AZAL, Auditee",1/31/2023,4/7/2025,"""Gulfstream"" tipli hava gəmiləri üzrə uçuşa yararlılıq direktivlərinin izlənilməsi üçün EASA və FAA administrasiyanın web səhifələrindən abunə olmaqla məlumatların alınması və növbəti addımlar həyata keçiriləcək. 31 May 2023-cü ilədək təqdim olunacaq
EASA, FAA veb-saytlarından yeni AD/EAD haqqında bildirişlər (notifications) almaq üçün CAMO işçiləri ümumi poçt qutusu (camo@azal.az) yaratdılar və bu poçt qutusu EASA, FAA veb-saytlarında davamlı olaraq məlumat almaq üçün qeydiyyatdan keçdi","AZAL, Auditee",1/31/2023,,Completed.,"Yusifli, Fuad",,,None,None,None,None,None,None,None,None,None,None,None,None,
NC139,Closed,12/14/2022,4/3/2023,"AUD301 - Azerbaijan Airlines (AZ.CAMO.0001), Initial (Form 2 dated 28/11/2022)",AZAL Audit/Inspection,"AZAL, Auditee",CAMO.320. Uçuşa yararlılığın yoxlanılması zamanı istifadə edilən müvafiq “checklist”də modifikasiya və təmir statuslarının yoxlanılması nəzərdə tutulmur.,"Uçuş yararlığının yoxlanması zamanı istifatə edilən ""Checklist"" AAR-CAMO,AAR-M,AAR-T,OTAR Part39,İATA tələblərini eyni anda nəzərə aldığı üçün qaldırılan nöqsan nəzərə alınmamışdır.","AZAL, Auditee",1/31/2023,4/7/2025,"AAR-CAMO tələbləri əsasında ""Checklist"" hazırlanacaq.modifikasiya və təmir statusları həmin ""Checklist"" də nəzərə alınacaq.31 May 2023-cü ilədək təqdim olunması planlaşdırılır","AZAL, Auditee",1/31/2023,,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,
